primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"72 kWh/m²
kilowatt hour per square meters",B,402647-N-7-83-1-2,14 kg CO₂/m²,Not specified,"€1,250 (+ €300)
1250€ + 300€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 123 m²
square meters",12.0,Hyper equipped,"16 m²
square meters",2.0,Gas,Yes,42.0,2.0,"123 m²
square meters","40 m²
square meters","16 m²
square meters",No,"10 m²
square meters",Yes,"Rue Paul Devigne 70 boite 33
1030 - Schaerbeek",http://www.antoined.be,Unknown,Antoine D.,As new,Yes,Yes,Unknown,After signing the deed,No description,All kind,-1.0,"13 m²
square meters",Unknown,Unknown,Unknown,2014.0,Possible No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2818
"173 kWh/m²
kilowatt hour per square meters",D,20111011-0000019799-01-8,Not specified,Not specified,"€1,575/month
1575€ per month",1060 — Saint-Gilles,Apartment for rent,No,"2 bedrooms | 107 m²
square meters",6.0,Hyper equipped,"14 m²
square meters",2.0,Gas,Yes,999.0,Unknown,"107 m²
square meters","31 m²
square meters","14 m²
square meters",No,"18 m²
square meters",Unknown,"Boulevard de la Woluwe 46 bte11
1200 - Woluwe-St-Lambert",http://www.homeinvestbelgium.be,Unknown,Home Invest Belgium sa,As new,Yes,Unknown,No,Unknown,"Nice 2 bedroom apartment 107 m² + terrace and balcony 18 m² located on the 6th and last floor of a modern building near the Goulet Louise and Avenue de la Toison d'Or. It consist of: entrance hall with toilet, living room 31m ², fully equipped kitchen, hall with toilet, 2 bedrooms (14 and 9 m²), bathroom and laundry. Cellar. Individual gas boiler and frame double glazing. Near metro (Hôtel des Monnaies). Possibility parking. PEB D. Costs 155€ (common, insurance, maintenance boiler, management fees). Information and visits: 02/899 43 21 solutions@homeinvest.be. Free.",All kind,-1.0,"9 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2819
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,200/month
1200€ per month",1140 — Evere,Apartment for rent,No,"2 bedrooms | 70 m²
square meters",1.0,Unknown,"18 m²
square meters",0.0,Gas,No,4.0,Unknown,"70 m²
square meters","16 m²
square meters","18 m²
square meters",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Just renovated,Unknown,Unknown,Unknown,Immediately,"3 apartements of about 70 m² and a studio to rent at avenue Notre-Dame 54, 1140 Evere.

500m from Evere train station, 10 min bike from NATO.

Public transport and shops down the street.

Rent:
- 1st floor: 1300 €/month
- 2nd floor: 1200 €/month
- 3rd floor: 1200 €/month
- 4th floor (studio): 800€/month

The 3rd floor is ""equipped"" with solar panels.

Separate counters (water/gas/electricity).

No animals.",All kind,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2820
Not specified,Not specified,Not specified,Not specified,Not specified,"€650 (+ €250)
650€ + 250€ per month",1050 — Ixelles,Studio for rent,No,"9 bedrooms | 300 m²
square meters",999.0,Hyper equipped,Unknown,7.0,Gas,Yes,4.0,Unknown,"300 m²
square meters","62 m²
square meters",Unknown,Yes,Unknown,Yes,"Quai paul verlaine 2/2
6000 - Charleroi",http://www.ikoab.com,Unknown,IKOAB,Just renovated,Unknown,Unknown,Unknown,Immediately,"Located rue Jean d'Ardenne, a stone's throw from the Avenue Louise, this charming 300 m² shared house is composed of 9 bedrooms, 7 bathrooms, 62 m² of common areas (living room, kitchen, dining room) and a terrace and garden. The distribution of the rooms is as follows:

Price (excluding charges) and surface area of the rooms:
Room 1 private bathroom: 575€ - 11,5 m2
Room 2 private bathroom : 575€ - 12 m2
Room 3 private bathroom : 575€ - 14 m2
Room 4 private bathroom : 650€ - 19,5 m2
Room 5 private bathroom : 650€ - 19,5 m2
Room 6 shared bathroom : 650€ - 19,5 m2
Room 7 shared bathroom : 650€ - 19,5 m2
Room 8 shared bathroom : 600€ - 19,5 m2
Room 9 shared bathroom : 600€ - 19,5 m2- The charges are 250€ per room/month. These charges must be added to the cost of the rent. They include TV, internet, gas, electricity, water, washing machine, dryer, maintenance service and weekly cleaning (once a week in the communal areas and once every two weeks in the private rooms);
- All our accommodations are fully furnished and equipped with
- 2 months of guarantee are required (2 months of rent excluding charges)
- Our contracts are for a minimum of 6 months.
- Registration is possible

For more information or to arrange a visit, please contact us on +32 2 660 68 19.

Do not hesitate to visit our website http://ikoab.com if you are looking for other accommodation.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2821
"39 kWh/m²
kilowatt hour per square meters",A,557740-N-1-32-3-2,9 kg CO₂/m²,Not specified,"€1,300 (+ €79)
1300€ + 79€ per month",1140 — Evere,Apartment for rent,No,"2 bedrooms | 89 m²
square meters",4.0,USA hyper equipped,"15 m²
square meters",1.0,Gas,Yes,5.0,2.0,"89 m²
square meters","30 m²
square meters","15 m²
square meters",No,"6 m²
square meters",Unknown,"Drève Richelle 197
1410 - Waterloo",http://www.immokeystone.be,5107789,Immokeystone,As new,Yes,Unknown,No,Immediately,"Evere : Keystone Real Estate invites you to discover this 89m² (Gross) apartment on the 4th floor (with elevator) in a recent building with 2 bedrooms (15 and 10m²), close to all amenities, major roads and the Nato. You will also benefit from a secure parking space under the building included in the price! It is composed as follows: an entrance hall with a separate toilet, a living room with an access to the terrace (SW), an open kitchen (Full equipped), a night hall with a laundry room (Space for a washing machine and storage), a bathroom (bathtub with shower, washbasins), two bedrooms 15m² and 10m². Electric shutters, a cellar, bicycle room (Individual meters: water, gas and electricity). LOW ENERGY CONSUMPTION (PEB A-) ! COMMON CHARGES+- 79€/month !",All kind,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,2016.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,2822
"149 kWh/m²
kilowatt hour per square meters",C,Not specified,32 kg CO₂/m²,Not specified,"€2,950/month
2950€ per month",Ask for the exact address,Exceptional property for rent,No,"3 bedrooms | 350 m²
square meters",999.0,USA hyper equipped,"40 m²
square meters",3.0,Gas,Yes,999.0,2.0,"350 m²
square meters","55 m²
square meters","40 m²
square meters",No,"17 m²
square meters",Yes,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5107365,Vaneau Lecobel Location,Just renovated,No,No,No,Immediately,"Close to Place Sainte Catherine and rue Antoine Dansaert, superb loft behind the house with a total area of ± 350 m² served on 4 levels. It consists of an entrance hall, a large living room (± 55 m²), a fully equipped kitchen, a large dining area (± 45 m²), 3 beautiful bedrooms including the suite parental (± 40 m²) with an adjoining bathroom and shower, an independent bathroom, a laundry room and a water closet. Beautiful terrace (± 18.65 m²) and several balconies. Large garage included. Quality materials and plenty of storage. All charges are individual. PEB C-. To discover as soon as possible!!",All kind,1.0,"18 m²
square meters","11 m²
square meters",Unknown,Unknown,-1.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,2823
"149 kWh/m²
kilowatt hour per square meters",C,Not specified,32 kg CO₂/m²,Not specified,"€2,950/month
2950€ per month",Ask for the exact address,Loft for rent,No,"3 bedrooms | 350 m²
square meters",999.0,USA hyper equipped,"40 m²
square meters",3.0,Gas,Yes,3.0,2.0,"350 m²
square meters","55 m²
square meters","40 m²
square meters",No,"17 m²
square meters",Yes,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5107360,Vaneau Lecobel Location,Just renovated,No,No,No,Immediately,"Close to Place Sainte Catherine and rue Antoine Dansaert, superb loft behind the house with a total area of ± 350 m² served on 4 levels. It consists of an entrance hall, a large living room (± 55 m²), a fully equipped kitchen, a large dining area (± 45 m²), 3 beautiful bedrooms including the suite parental (± 40 m²) with an adjoining bathroom and shower, an independent bathroom, a laundry room and a water closet. Beautiful terrace (± 18.65 m²) and several balconies. Large garage included. Quality materials and plenty of storage. All charges are individual. PEB C-. To discover as soon as possible!!",All kind,1.0,"18 m²
square meters","11 m²
square meters",Unknown,Unknown,-1.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2824
"173 kWh/m²
kilowatt hour per square meters",D,Not specified,34 kg CO₂/m²,Not specified,"€1,100 (+ €50)
1100€ + 50€ per month",1030 — Schaerbeek,Apartment for rent,No,"1 bedroom | 87 m²
square meters",1.0,Unknown,"18 m²
square meters",1.0,Gas,Unknown,3.0,2.0,"87 m²
square meters","< than 87 m²
square meters","18 m²
square meters",No,Unknown,Yes,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",http://www.latouretpetit.be,5095104,Latour et Petit Location,Good,No,No,No,Immediately,"SCHAERBEEK, Voltaire, close to the Josaphat Park, bright APARTMENT (1 bedroom/1 bathroom) of 87 m² with mouldings and charm. Located on the first floor of a mansion, it consists of a living room, dining room, separate kitchen, 1 bedroom with electric shutters of 18,5 m², bathroom with toilet. Bicycle room. PEB D. Provisions charges: +50€/month (cold water and common). To discover at L&P!",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2825
Not specified,Not specified,Not specified,Not specified,Not specified,"€900 (+ €20)
900€ + 20€ per month",Ask for the exact address,Apartment for rent,No,<function mode at 0x000001E31E296440>,1.0,Unknown,Unknown,0.0,Unknown,No,999.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2826
"168 kWh/m²
kilowatt hour per square meters",D,20220603-0000614073-01-6,Not specified,Not specified,"€1,250 (+ €150)
1250€ + 150€ per month",1150 — WOLUWÉ-SAINT-PIERRE,Apartment for rent,No,"2 bedrooms | 90 m²
square meters",3.0,Installed,Unknown,2.0,Gas,Unknown,5.0,Unknown,"90 m²
square meters","30 m²
square meters",Unknown,No,Unknown,Unknown,"Av G.Dossin de st Georges 5 bte 6
1050 - Ixelles",http://www.contigo.immo,8746 - 1413,Contigo Ixelles,Unknown,Yes,Unknown,Unknown,Immediately,"Sorry, there is no English translation. Woluwe-Saint-Pierre - Montgomery, à deux pas du Parc de Woluwe : Magnifique appartement deux chambres situé au 3e étage avec ascenseur, composé comme suit : Un hall d'entrée avec armoire et WC séparé, un spacieux séjour de +-30m² avec cuisine ouvert super-équipée et accès à un balcon à l'avant, une salle de bain avec baignoire, machine à laver et second WC, deux chambres de 12m² dont une avec accès à la terrasse arrière. Grande cave, double vitrage partout, parquet au sol. Charges 150€ : Provision pour le chauffage, l'eau, l'entretien des communs et l'ascenseur. Disponible immédiatement. PEB : D+ Localisation idéale, à proximité immédiate de nombreux transports en commun et commerces. Adécouvrir sans plus tarder ! Visite virtuelle : https://nodalview.com/s/0o3PutoYD6HOSg0hcAUgBL",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2827
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,160 (+ €150)
1160€ + 150€ per month",1083 — Ganshoren,Ground floor for rent,No,"2 bedrooms | 85 m²
square meters",999.0,Installed,"10 m²
square meters",1.0,Unknown,Yes,3.0,2.0,"85 m²
square meters","20 m²
square meters","10 m²
square meters",Unknown,"24 m²
square meters",No,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,No description,All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,1976.0,Possible No,Yes,No,No,No,No,No,No,Unknown,Unknown,2828
"427 kWh/m²
kilowatt hour per square meters",G,20161208-0000366203-01-2,92 kg CO₂/m²,Not specified,"€1,150 (+ €100)
1150€ + 100€ per month",Ask for the exact address,Duplex for rent,No,"3 bedrooms | 91 m²
square meters",2.0,Installed,"17 m²
square meters",2.0,Gas,Yes,3.0,2.0,"91 m²
square meters","26 m²
square meters","17 m²
square meters",No,"11 m²
square meters",Yes,"Rue J.B. Meunier 4/1
1050 - Bruxelles",Unknown,Unknown,Limmob,Good,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,"12 m²
square meters","11 m²
square meters",Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2829
"289 kWh/m²
kilowatt hour per square meters",F,20221006-0000622272-01-9,Not specified,Not specified,"€1,300/month
1300€ per month",1050 — Ixelles,Ground floor for rent,No,2 bedrooms,999.0,Installed,"12 m²
square meters",1.0,Gas,Yes,999.0,Unknown,"> than 18 m²
square meters","18 m²
square meters","12 m²
square meters",No,"28 m²
square meters",Unknown,"Rue des Combattants, 136
1310 - La Hulpe",http://www.dumontgestion.be,Unknown,Immo Dumont,Good,Yes,Unknown,No,Unknown,"(information and visits: 0471 94 81 23 ) In the very appreciated district of Solbosh, avenue Buyl 196 apartment of 83 m2 on the first floor 2 Rooms in a small building composed of a living room - a US kitchen - a bathroom with Italian shower - separate WC - a balcony - a terrace and a very big garden. Rent: 1.300 € + Charges: 250 EUR common charges and heating - Available on the 01/12/2022 (not to be missed!)",All kind,-1.0,"14 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2830
"64 kWh/m²
kilowatt hour per square meters",B,630994-N-1-11-4-3,13 kg CO₂/m²,Not specified,"€1,600 (+ €150)
1600€ + 150€ per month",1050 — Ixelles,Apartment for rent,No,"2 bedrooms | 103 m²
square meters",2.0,USA hyper equipped,"22 m²
square meters",2.0,Gas,Yes,10.0,Unknown,"103 m²
square meters","42 m²
square meters","22 m²
square meters",No,"10 m²
square meters",Yes,"Avenue Louise 251
1050 - Ixelles",http://www.castell-management.com,4181919,Castell Management,As new,Yes,Yes,No,Depending on the tenant,"Located on Avenue Louise, in a new exterior building signed Marc Corbieau, two-bedroom apartment located on the 2th floor with an area of ??± 103 m². The apartment consists of an entrance hall giving on the one hand on the living room with kitchen Bulthaupp fully equipped, a living room and a dining room overlooking the terrace. On the other hand, on the night side, consisting of two bedrooms with a bathroom and a shower room. Others: Laundry, building low consumption, cellar. Possibility to rent an indoor parking at a price of 150 € / month. The Louise district is known for its proximity to the shops and its large choice of restaurants. Easy and quick access to the city center and surrounding communities thanks to the many public transport. For further information, please contact Romain Laloux +32 (0) 473 17 08 12.",All kind,-1.0,"11 m²
square meters",Unknown,Unknown,Unknown,1970.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,2831
"189 kWh/m²
kilowatt hour per square meters",D,20221109-0000625063-01-1,38 kg CO₂/m²,Not specified,"€1,200 (+ €200)
1200€ + 200€ per month",1000 — Bruxelles,Duplex for rent,No,"2 bedrooms | 92 m²
square meters",3.0,Semi equipped,"15 m²
square meters",1.0,Gas,Yes,3.0,2.0,"92 m²
square meters","40 m²
square meters","15 m²
square meters",No,Unknown,Yes,"Rue Royale 178
1000 - Bruxelles",http://www.century21royale.be,4981447,Century 21 Royale,Good,No,No,No,Immediately,"In the centre of Brussels, Century 21 Royale offers you this beautiful two bedroom flat of 80m². The flat is located on the 3nd floor of a small condominium and is composed as follows: a large bright living room divided into two parts (dining room and living room) of +/- 40m², an open kitchen equipped (oven, host, gas stove, dishwasher, fridge, storage drawer). On the first floor: two beautiful bedrooms, one of +/- 15m² and the second of +/- 12m², a bathroom + a place for a washing machine, a terrace with view on the garden of +/- 6m². The rent is 1.200,00€ + 200,00€ of provisional charges which include: cold/hot water, heating and common parts. To visit without further delay, contact us at: 02.770.70.21 or by e-mail: info@century21royale.be.",All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,2832
"113 kWh/m²
kilowatt hour per square meters",C,402647-N-7-252-1-2,17 kg CO₂/m²,Not specified,"€3,000 (+ €200)
3000€ + 200€ per month",1000 — Bruxelles,Apartment for rent,No,"2 bedrooms | 135 m²
square meters",40.0,USA hyper equipped,"23 m²
square meters",2.0,Gas,Yes,42.0,4.0,"135 m²
square meters","50 m²
square meters","23 m²
square meters",Yes,"60 m²
square meters",Yes,"Rue Royale 178
1000 - Bruxelles",http://www.century21royale.be,5107663,Century 21 Royale,As new,Yes,Yes,Yes,Depending on the tenant,"Century 21 Royale proposes you this splendid apartment of high standing of 135m ² located at the 40th floors of the tower Upsite. Located in a very quiet area, its location has many advantages. At 5 min from the center of Brussels and well served in terms of amenities. The apartment is composed as follows: an entrance hall, a fully equipped kitchen, a large and bright living room, 2 bedrooms, 2 shower rooms with WC, a laundry room and a large terrace, a cellar. The whole with a splendid view on Brussels. A parking place is possible (120 €). The charges amount to 200€ for the common charges. Electricity, gas and water are individual. Concierge 24/24, accessibility to the cinema room, spa and games room. To visit without further delay, contact us at : 02.770.70.21 or by e-mail : info@century21royale.be",All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,2015.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,2833
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,450 (+ €50)
1450€ + 50€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 155 m²
square meters",999.0,Installed,Unknown,2.0,Gas,No,1.0,2.0,"155 m²
square meters","< than 155 m²
square meters",Unknown,No,Unknown,Unknown,"Rue de la Brasserie, 51A
1050 - Ixelles",Unknown,309-1-1,Isabelle de Thier Immobilière,Unknown,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2834
"170 kWh/m²
kilowatt hour per square meters",D,20170125-0000371823-01-2,27 kg CO₂/m²,Not specified,"€1,100 (+ €70)
1100€ + 70€ per month",1080 — Molenbeek-Saint-Jean,Apartment for rent,No,2 bedrooms,2.0,Installed,"14 m²
square meters",1.0,Unknown,Yes,5.0,2.0,"> than 30 m²
square meters","30 m²
square meters","14 m²
square meters",No,"5 m²
square meters",Yes,"Av. Henri Conscience 74
1140 - Evere",http://www.century21.be/everone,11083,Century 21 Everone,Unknown,Yes,Unknown,Unknown,Unknown,No description,All kind,-1.0,"11 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2835
Not specified,Not specified,Not specified,Not specified,Not specified,"€3,650 (+ €125)
3650€ + 125€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 150 m²
square meters",6.0,USA hyper equipped,"17 m²
square meters",3.0,Gas,Yes,7.0,2.0,"150 m²
square meters","80 m²
square meters","17 m²
square meters",Yes,"20 m²
square meters",Yes,"Rue Tenbosch 37
1050 - Ixelles",http://www.oralis.be,5107361,Haussmann by Oralis,As new,Yes,Yes,No,Depending on the tenant,"MONTGOMERY/AV DE TERVUEREN: Ideally located near shops and public transport, in a luxurious building, beautiful furnished apartment of +/-150m² with 2 terraces including: an entrance hall with cloakroom and guest toilet, spacious and bright living/dining area, super-equipped open kitchen (bulthaup), 2 bedrooms with built in closet and storage, a bathroom and a shower room. Laundry. Quality finishes! 1 parking space and a cellar included. PEB: C. Minimum duration of the contract : 1 year. INFO/VISITS on 02/898.30.31. Other similar properties on www.haussmannproperties.com",All kind,2.0,"14 m²
square meters",Unknown,Unknown,Unknown,2015.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2836
"193 kWh/m²
kilowatt hour per square meters",D,Not specified,Not specified,Not specified,"€1,825 (+ €150)
1825€ + 150€ per month",1040 — Etterbeek,Penthouse for rent,No,"2 bedrooms | 121 m²
square meters",4.0,Hyper equipped,Unknown,2.0,Gas,Yes,999.0,Unknown,"121 m²
square meters","< than 121 m²
square meters",Unknown,Unknown,"90 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Just renovated,Yes,Yes,No,Unknown,"Beautiful penthouse (121 sqm (PEB)) in central Brussels. 2 sleeping rooms, 2 bathrooms, great living area. Awesome terrace of about 90sqm with great views on all Brussels. Located between 2 metro stations, and at walking distance from Schumann and all EU buildings. Garage box in the building available for an extra 150€/m.

Available as of early January 2023 (07-10th).
Please get in touch for a visit.
No agencies",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Unknown,Unknown,2837
"100 kWh/m²
kilowatt hour per square meters",C,Not specified,19 kg CO₂/m²,Not specified,"€1,300 (+ €100)
1300€ + 100€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 65 m²
square meters",7.0,USA hyper equipped,"25 m²
square meters",1.0,Gas,Yes,7.0,2.0,"65 m²
square meters","< than 65 m²
square meters","25 m²
square meters",No,Unknown,Yes,"Rue Tenbosch 37
1050 - Ixelles",http://www.oralis.be,5107318,Haussmann by Oralis,As new,Yes,Yes,No,Depending on the tenant,"CEE / CINQUANTENAIRE © Located in a luxury building, close to shops, the European district and the Parc Cinquantenaire, beautiful apartment of +/- 65m2 offering : an entrance hall with guest toilet and laundry room, living space with large windows, fully equipped open kitchen, a bedroom with adjoining shower room. Lift. Possibility to rent a parking space accessible from the building (+100€/month) INFO/VISITS 02 898 30 31 or info@haussmannproperties.com. Other properties on www.haussmannproperties.com",All kind,1.0,Unknown,Unknown,Unknown,Unknown,2018.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2838
"255 kWh/m²
kilowatt hour per square meters",E,20210419­0000587059­01­1,Not specified,Not specified,"€1,315 (+ €275)
1315€ + 275€ per month",1030 — Schaarbeek,Apartment for rent,No,"2 bedrooms | 142 m²
square meters",999.0,Hyper equipped,Unknown,1.0,Unknown,Unknown,2.0,Unknown,"142 m²
square meters","< than 142 m²
square meters",Unknown,No,"110 m²
square meters",Yes,"L. van Buekenhoudtstraat 3
3061 - Leefdaal",Unknown,Unknown,Melkerij Van Leefdaal BVBA,Unknown,Unknown,Unknown,Unknown,Unknown,"Sacious top-notch apartment of +/- 142m2, with huge terrace of +/- 110m2, in a magnificent building with outstanding character from 1930, in very good condition, on the 2nd floor. Ground floor and first floor occupied by offices. Spacious living room (+/- 35m2), modern fully fitted kitchen (with cooker, damper, dish washer, fridge and oven included) with breakfast corner. Very large terrace of +/- 110m2and on the front side the apartment is surrounded by a charming footbridge. 2 bedrooms : 1st one +/- 24m2 and 2nd one +/- 15m2. Storage room with storage area an all connections for washing machine and dryer. 1 separate toilet. Bathroom with bath which can also be used as a shower and 1 sink in fitted cupboard with storage space.Floor covering : parquet, vinyl and tiles. Bicycle or motorbike can be placed inside in shared garage (no room for a car). Parking possibility in front of the entrace. Info and visits : tel 0476 39 88 82",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2839
"100 kWh/m²
kilowatt hour per square meters",C,Not specified,19 kg CO₂/m²,Not specified,"€1,300 (+ €100)
1300€ + 100€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 65 m²
square meters",7.0,USA hyper equipped,"25 m²
square meters",1.0,Gas,Yes,7.0,2.0,"65 m²
square meters","< than 65 m²
square meters","25 m²
square meters",No,Unknown,Yes,"Rue Defacqz 40
1050 - Ixelles",http://www.oralis.be,5107300,ORALIS Real Estate,As new,Yes,Yes,No,Depending on the tenant,"CEE / CINQUANTENAIRE © Located in a luxury building, close to shops, the European district and the Parc Cinquantenaire, beautiful apartment of +/- 65m2 offering : an entrance hall with guest toilet and laundry room, living space with large windows, fully equipped open kitchen, a bedroom with adjoining shower room. Lift. Possibility to rent a parking space accessible from the building (+100€/month) INFO/VISITES at 02/898.30.31 Other similar properties on www.Oralis.be",All kind,1.0,Unknown,Unknown,Unknown,Unknown,2018.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2840
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,500 (+ €150)
1500€ + 150€ per month",1050 — Elsene,Apartment for rent,No,"2 bedrooms | 101 m²
square meters",6.0,Unknown,"15 m²
square meters",0.0,Unknown,Unknown,999.0,1.0,"101 m²
square meters","< than 101 m²
square meters","15 m²
square meters",Unknown,"6 m²
square meters",Unknown,"Brechtsesteenweg 152
2390 - Westmalle",Unknown,Unknown,Epimmo,Unknown,Yes,Unknown,Unknown,Immediately,No description,All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,2017.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2841
"206 kWh/m²
kilowatt hour per square meters",D,Not specified,43 kg CO₂/m²,Not specified,"€2,225 (+ €150)
2225€ + 150€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 155 m²
square meters",2.0,Hyper equipped,"24 m²
square meters",3.0,Gas,Yes,4.0,3.0,"155 m²
square meters","26 m²
square meters","24 m²
square meters",No,"12 m²
square meters",Yes,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5106943,Vaneau Lecobel Location,As new,Yes,No,No,Depending on the tenant,"Located between the Bois de la Cambre and the Forêt de Soigne, superb apartment with a total area of ± 155 m² in a pretty luxury building from the 80s. It consists of an entrance hall with toilet, a large living room, a super bright dining room, a super equipped kitchen, 3 beautiful large bedrooms (± 24 m², ± 18 m² and ± 13 m²) and their adjoining shower room (two bathrooms and shower) and an equipped laundry room. Pretty terrace (± 12 m²) facing West. Armored door and numerous storage spaces. Cellar included and a parking box at an obligatory supplement (€150/month). Charges: €150/month (Provision for the maintenance of common areas). PEB D. To discover without delay!!",All kind,-1.0,"18 m²
square meters","13 m²
square meters",Unknown,Unknown,1995.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2842
